source_id,source_document,source_sha256_prefix,extraction_run,page,serial,state_name,pwd_male,pwd_female,pwd_total,muslim_male,muslim_female,muslim_total,other_minority_male,other_minority_female,other_minority_total,ews_male,ews_female,ews_total
aishe,sources/aishe/aishe-report-2021-22.pdf,c4400273cb2d574c,aishe-table15-extract-v1.1.0-20260527T220345Z,140,11,Haryana,798,483,1281,7869,3092,10961,5629,6447,12076,9445,6252,15697
aishe,sources/aishe/aishe-report-2021-22.pdf,c4400273cb2d574c,aishe-table15-extract-v1.1.0-20260527T220345Z,140,12,Himachal Pradesh,335,170,505,746,568,1314,1028,1104,2132,2551,2085,4636
aishe,sources/aishe/aishe-report-2021-22.pdf,c4400273cb2d574c,aishe-table15-extract-v1.1.0-20260527T220345Z,140,13,Jammu and Kashmir,514,221,735,63796,74346,138142,2323,2997,5320,3604,3970,7574
aishe,sources/aishe/aishe-report-2021-22.pdf,c4400273cb2d574c,aishe-table15-extract-v1.1.0-20260527T220345Z,140,14,Jharkhand,881,294,1175,19532,18668,38200,4976,7421,12397,5837,3365,9202
aishe,sources/aishe/aishe-report-2021-22.pdf,c4400273cb2d574c,aishe-table15-extract-v1.1.0-20260527T220345Z,140,15,Karnataka,3397,2660,6057,78638,68611,147249,42716,51895,94611,26058,26549,52607
aishe,sources/aishe/aishe-report-2021-22.pdf,c4400273cb2d574c,aishe-table15-extract-v1.1.0-20260527T220345Z,140,16,Kerala,2843,2472,5315,76375,110983,187358,55951,65238,121189,10383,16815,27198
aishe,sources/aishe/aishe-report-2021-22.pdf,c4400273cb2d574c,aishe-table15-extract-v1.1.0-20260527T220345Z,140,19,Madhya Pradesh,2277,1778,4055,22617,16588,39205,10826,9856,20682,11964,6875,18839
aishe,sources/aishe/aishe-report-2021-22.pdf,c4400273cb2d574c,aishe-table15-extract-v1.1.0-20260527T220345Z,140,20,Maharashtra,4955,3216,8171,79193,75322,154515,54185,52601,106786,45510,32387,77897
aishe,sources/aishe/aishe-report-2021-22.pdf,c4400273cb2d574c,aishe-table15-extract-v1.1.0-20260527T220345Z,140,21,Manipur,85,91,176,964,1000,1964,1080,2702,3782,133,62,195
aishe,sources/aishe/aishe-report-2021-22.pdf,c4400273cb2d574c,aishe-table15-extract-v1.1.0-20260527T220345Z,140,22,Meghalaya,477,588,1065,1324,795,2119,6253,8492,14745,240,214,454
aishe,sources/aishe/aishe-report-2021-22.pdf,c4400273cb2d574c,aishe-table15-extract-v1.1.0-20260527T220345Z,140,23,Mizoram,14,17,31,77,53,130,9504,9709,19213,62,37,99
aishe,sources/aishe/aishe-report-2021-22.pdf,c4400273cb2d574c,aishe-table15-extract-v1.1.0-20260527T220345Z,140,24,Nagaland,14,7,21,112,141,253,8303,9698,18001,43,260,303
aishe,sources/aishe/aishe-report-2021-22.pdf,c4400273cb2d574c,aishe-table15-extract-v1.1.0-20260527T220345Z,140,25,Odisha,1214,806,2020,4412,4097,8509,2468,2478,4946,13816,9796,23612
aishe,sources/aishe/aishe-report-2021-22.pdf,c4400273cb2d574c,aishe-table15-extract-v1.1.0-20260527T220345Z,140,26,Puducherry,94,193,287,1565,1705,3270,1035,2012,3047,233,150,383
aishe,sources/aishe/aishe-report-2021-22.pdf,c4400273cb2d574c,aishe-table15-extract-v1.1.0-20260527T220345Z,140,27,Punjab,599,468,1067,14277,5640,19917,60736,69745,130481,6712,5732,12444
aishe,sources/aishe/aishe-report-2021-22.pdf,c4400273cb2d574c,aishe-table15-extract-v1.1.0-20260527T220345Z,140,28,Rajasthan,3563,1661,5224,26212,20199,46411,9186,10366,19552,24977,25717,50694
aishe,sources/aishe/aishe-report-2021-22.pdf,c4400273cb2d574c,aishe-table15-extract-v1.1.0-20260527T220345Z,140,29,Sikkim,17,3,20,111,51,162,889,1368,2257,140,139,279
aishe,sources/aishe/aishe-report-2021-22.pdf,c4400273cb2d574c,aishe-table15-extract-v1.1.0-20260527T220345Z,140,30,Tamil Nadu,4141,4670,8811,64355,51335,115690,82102,86618,168720,15193,14612,29805
aishe,sources/aishe/aishe-report-2021-22.pdf,c4400273cb2d574c,aishe-table15-extract-v1.1.0-20260527T220345Z,140,31,Telangana,2371,1618,3989,64775,56543,121318,4036,5531,9567,10800,10724,21524
aishe,sources/aishe/aishe-report-2021-22.pdf,c4400273cb2d574c,aishe-table15-extract-v1.1.0-20260527T220345Z,140,32,Dadra and Nagar Haveli and Daman and Diu,12,8,20,108,120,228,19,333,352,74,79,153
aishe,sources/aishe/aishe-report-2021-22.pdf,c4400273cb2d574c,aishe-table15-extract-v1.1.0-20260527T220345Z,140,33,Tripura,157,54,211,1796,1206,3002,219,227,446,445,227,672
aishe,sources/aishe/aishe-report-2021-22.pdf,c4400273cb2d574c,aishe-table15-extract-v1.1.0-20260527T220345Z,140,34,Uttar Pradesh,6006,5858,11864,157372,169447,326819,13717,15277,28994,33485,24019,57504
aishe,sources/aishe/aishe-report-2021-22.pdf,c4400273cb2d574c,aishe-table15-extract-v1.1.0-20260527T220345Z,140,35,Uttarakhand,934,730,1664,7998,8838,16836,1998,2169,4167,3750,2644,6394
aishe,sources/aishe/aishe-report-2021-22.pdf,c4400273cb2d574c,aishe-table15-extract-v1.1.0-20260527T220345Z,140,0,All India,,,,1068773,1039260,2108033,,,,,,
